id_aluno,idade,curso,turno,modalidade,cidade,renda_familiar,horas_estudo_semana,frequencia_percentual,nota_anterior,acessos_ava_mes,atividades_entregues_percentual,horas_sono,distancia_km,internet_estavel,trabalha,recebeu_monitoria,satisfacao_curso,nota_final,aprovado,risco_evasao
AL00632,43,Automação Industrial,Noturno,Híbrido,Pomerode,2907,7.9,72.2,7.3,43,80.5,4.1,5.3,Sim,Sim,Não,8,5.7,Não,Não
AL00633,26,Automação Industrial,Matutino,Presencial,Gaspar,9424,10.9,96.1,7,52,99.7,5,8.4,Não,Sim,Sim,5,6.4,Sim,Não
AL00634,40,desenv. sistemas,Noturno,Híbrido,Brusque,4222,10.5,75.1,4.2,28,74,7.2,8.1,Sim,Não,Não,7,4,Não,Não
AL00635,27,Automação Industrial,Matutino,Presencial,Gaspar,4251,4.4,79.2,6.9,40,89.7,6.5,3.4,Sim,Sim,Não,4,7.6,Sim,Sim
AL00636,16,Desenvolvimento de Sistemas,Matutino,Presencial,Blumenau,1537,5,70.6,5.7,38,80.3,7.5,12.7,Sim,Sim,Não,8,4.5,Não,Não
AL00637,16,Automação Industrial,Noturno,Presencial,Gaspar,2346,7.9,75,6.4,28,69.9,7.5,2.2,Sim,Sim,Não,5,6.7,Sim,Não
AL00638,33,Administração,Matutino,Presencial,Pomerode,2806,3.1,81.6,6.2,24,76.6,4.5,5.3,Sim,Sim,Sim,8,8.4,Sim,Sim
AL00639,32,Administração,Noturno,Presencial,Gaspar,6146,9.6,78.3,8.4,28,94.8,7.9,14,Sim,Não,Sim,8,6.9,Sim,Não
AL00640,24,Desenvolvimento de Sistemas,Noturno,Presencial,Pomerode,6737,6.7,94.5,4.7,44,86.3,5.4,7.4,Não,Sim,Sim,7,6.4,Sim,Não
AL00641,29,Desenvolvimento de Sistemas,Noturno,Presencial,Timbó,3460,10.1,66.1,7.2,20,90.8,8.6,8.2,Sim,Não,Não,9,6.9,Não,Sim
AL00642,33,Desenvolvimento de Sistemas,Matutino,Presencial,Timbó,4594,14,84,6.9,24,89.6,5.1,11.5,Sim,Sim,Não,6,7.2,Sim,Sim
AL00643,37,Administração,Matutino,Presencial,Indaial,2345,2.5,77.3,6.1,23,69.5,6.1,7,Não,Sim,Sim,8,5.2,Não,Não
AL00644,25,Administração,Noturno,Presencial,Blumenau,4338,3,87.8,5.9,21,83.3,6.3,3.5,Não,Sim,Não,5,5.9,Não,Não
AL00645,16,Eletromecânica,Noturno,Presencial,Blumenau,4633,17.4,89.4,6.3,53,77.1,7,6,Sim,Não,Não,5,8.1,Sim,Não
AL00646,31,Desenvolvimento de Sistemas,Noturno,Presencial,Indaial,4999,5.5,100,5.8,26,61.8,7.3,11.9,Sim,Sim,Não,6,6.3,Sim,Sim
AL00647,35,Automação Industrial,Noturno,Híbrido,Gaspar,4233,17.2,75.6,9.2,45,100,6.6,4.3,Sim,Sim,Não,7,8.6,Sim,Não
AL00648,23,Desenvolvimento de Sistemas,Noturno,Híbrido,Timbó,5398,6,86.6,5.9,30,84.2,6.9,30.5,Sim,Sim,Sim,6,5.7,Não,Não
AL00649,25,Administração,Noturno,Presencial,Indaial,3194,4.3,89.3,8.2,19,82.5,7.1,5.9,Sim,Não,Não,10,6.2,Sim,Não
AL00650,19,Desenvolvimento de Sistemas,Noturno,Híbrido,Gaspar,1136,8.1,85.5,6.4,24,65.8,8.6,4.3,Sim,Não,Não,5,6.2,Sim,Sim
AL00651,24,Desenvolvimento de Sistemas,Noturno,Presencial,Timbó,1846,8.2,80.5,8.1,47,100,5,8.2,Não,Sim,Sim,9,7.5,Sim,Não
AL00652,19,Desenvolvimento de Sistemas,Noturno,Presencial,Timbó,1352,13.9,100,5.8,29,73.7,6.9,2.8,Sim,Não,Não,7,7.6,Sim,Não
AL00653,35,Automação Industrial,Noturno,Presencial,Indaial,2433,4,100,4.1,40,100,7.9,14.6,Sim,Sim,Sim,10,7.5,Sim,Não
AL00654,18,Desenvolvimento de Sistemas,Noturno,Presencial,Blumenau,1866,8.9,87.2,5.3,24,100,5,3.3,Sim,Sim,Sim,8,7.2,Sim,Não
AL00655,39,Eletromecânica,Noturno,Híbrido,Pomerode,1373,12.1,74.9,5.1,33,79.9,4.9,5.3,Não,Sim,Não,8,5.5,Não,Não
AL00656,21,Desenvolvimento de Sistemas,Noturno,Presencial,Timbó,942,14.2,84.5,6.4,45,67.5,6.1,9.2,Sim,Não,Não,6,5.6,Não,Não
AL00657,17,Automação Industrial,Matutino,Presencial,Brusque,3219,11.9,100,4.9,50,89.1,5.1,4.1,Sim,Sim,Sim,10,7.6,Sim,Não
AL00658,20,Desenvolvimento de Sistemas,Matutino,Presencial,Pomerode,4851,6.9,83.5,7.4,19,91.6,6.3,4.8,Sim,Não,Não,7,5.9,Não,Não
AL00659,18,Administração,Noturno,Presencial,Timbó,2916,8,97.6,4.2,35,87.6,5.6,5.8,Sim,Não,Não,8,7.6,Sim,Não
AL00660,28,Administração,Noturno,Presencial,Blumenau,5897,8.7,94.3,7.6,31,94.7,6.1,4.2,Sim,Sim,Não,6,8.2,Sim,Não
AL00661,22,Desenvolvimento de Sistemas,Noturno,Híbrido,Gaspar,1326,15.8,69.3,7.3,41,100,8,6,Sim,Não,Não,10,7.2,Não,Sim
AL00662,21,Automação Industrial,Matutino,Presencial,Indaial,1369,6.4,89.5,7,16,64.3,7.3,9.3,Sim,Sim,Não,5,7.3,Sim,Sim
AL00663,43,Eletromecânica,Matutino,Presencial,Brusque,2858,5.9,92.2,4.6,4,66.9,6.2,12.7,Sim,Sim,Não,8,5.2,Não,Não
AL00664,28,Automação Industrial,Noturno,Híbrido,Brusque,3313,6.1,94,6.6,30,92.3,7.8,12.1,Sim,Sim,Sim,6,6.8,Sim,Não
AL00665,21,Automação Industrial,Matutino,Presencial,Pomerode,1858,1.6,81.5,7.7,36,69.4,5.2,7.2,Não,Sim,Não,9,5.2,Não,Não
AL00666,38,Automação Industrial,Noturno,Presencial,Brusque,5048,4,81.5,5.4,26,98,6,1.7,Sim,Sim,Não,8,6.1,Sim,Não
AL00667,37,Automação Industrial,Matutino,Híbrido,Pomerode,9473,5.9,68.9,8.4,33,95.6,6,5.7,Sim,Sim,Não,5,7.4,Não,Não
AL00668,33,Administração,Noturno,Presencial,Timbó,3148,10.9,88.9,6.3,50,100,5.2,10.3,Sim,Sim,Sim,5,7.3,Sim,Não
AL00669,26,Eletromecânica,Matutino,Presencial,Pomerode,5488,8.7,73.8,6.8,17,53.5,4.7,4.2,Sim,Sim,Não,6,5.3,Não,Não
AL00670,22,Automação Industrial,Matutino,Presencial,Gaspar,4887,11.6,79.6,7.2,30,100,6.5,16.9,Sim,Não,Não,10,6.3,Sim,Não
AL00671,30,Desenvolvimento de Sistemas,Noturno,Presencial,Indaial,4575,4.5,81.1,8.3,9,91.8,7.7,13.2,Não,Sim,Não,6,6.6,Sim,Não
AL00672,30,Automação Industrial,Matutino,Presencial,Gaspar,1266,13,86,7.4,43,86.6,5.4,7.8,Sim,Não,Não,5,8.5,Sim,Sim
AL00673,31,Eletromecânica,Noturno,Presencial,Blumenau,3445,15.5,78.4,6.7,46,100,5.5,9.9,Sim,Sim,Sim,9,7.3,Sim,Não
AL00674,16,Eletromecânica,Noturno,Presencial,Gaspar,7440,8,100,6.9,33,100,8.4,17.3,Sim,Não,Sim,7,7.4,Sim,Não
AL00675,23,Administração,Matutino,Híbrido,Gaspar,4660,6.3,77.1,4.7,25,83,8,3.1,Sim,Sim,Não,5,7,Sim,Sim
AL00676,26,Administração,Matutino,Presencial,Gaspar,3674,6.1,72.8,7.2,34,80.7,6.7,5.4,Sim,Sim,Não,6,5.2,Não,Não
AL00677,29,Desenvolvimento de Sistemas,Noturno,Híbrido,Gaspar,2156,15,88.7,6.4,42,87.4,8.2,6.8,Sim,Não,Não,5,6.7,Sim,Não
AL00678,40,Desenvolvimento de Sistemas,Matutino,Presencial,Timbó,2072,5.5,91.1,6.4,20,87.6,6,10.5,Sim,Sim,Sim,9,7.9,Sim,Não
AL00679,26,Eletromecânica,Noturno,Presencial,Brusque,2095,9.6,92.9,8,41,100,5.3,4.1,Sim,Sim,Não,5,7.7,Sim,Não
AL00680,16,Automação Industrial,Matutino,Presencial,Timbó,3608,17,83.8,4.6,49,100,6.7,4.3,Sim,Não,Não,8,6.1,Sim,Não
AL00681,16,Administração,Noturno,Presencial,Gaspar,1955,8.9,73.1,7.6,37,100,6.8,1.4,Sim,Não,Não,8,8.1,Não,Não
AL00682,31,Automação Industrial,Noturno,Presencial,Timbó,6345,7.3,81.3,8.7,8,80.1,5.3,8.2,Sim,Sim,Não,8,6.8,Sim,Sim
AL00683,24,Automação Industrial,Noturno,Híbrido,Indaial,1754,10.8,60.6,6.2,78,86.7,8.4,8.4,Sim,Não,Não,6,5.2,Não,Não
AL00684,18,Administração,Noturno,Presencial,Brusque,5620,10.1,74.4,3.9,47,83.8,7.1,17.8,Sim,Sim,Não,10,6.4,Não,Não
AL00685,31,Eletromecânica,Noturno,Híbrido,Brusque,6155,9.5,73.1,7.4,57,92.8,7.5,19.3,Sim,Sim,Não,6,6.4,Não,Não
AL00686,24,Eletromecânica,Noturno,Híbrido,Gaspar,3608,0.8,88.6,6.7,38,88.9,4.6,6.7,Sim,Sim,Não,10,7.1,Sim,Sim
AL00687,25,Automação Industrial,Noturno,Presencial,Timbó,4598,4.9,83.9,7.1,41,76.7,5.8,8,Sim,Sim,Não,6,6.2,Sim,Sim
AL00688,20,Automação Industrial,Noturno,Híbrido,Blumenau,5906,9.1,97,6.1,55,62.3,6.6,18.3,Sim,Não,Sim,7,6.7,Sim,Não
AL00689,27,Desenvolvimento de Sistemas,Matutino,Presencial,Blumenau,2913,7.2,85.5,3.2,34,73.1,6.8,5.5,Sim,Sim,Não,7,5.8,Não,Não
AL00690,16,Desenvolvimento de Sistemas,Matutino,Presencial,Blumenau,3266,4.5,88.7,6,26,66.8,6.8,6.1,Sim,Não,Sim,4,6.5,Sim,Sim
AL00691,25,Eletromecânica,Matutino,Presencial,Pomerode,4721,11.8,86.7,9.1,22,81.6,6.4,12.4,Sim,Sim,Não,5,6.5,Sim,Sim
AL00692,39,Desenvolvimento de Sistemas,Noturno,Presencial,Gaspar,1447,11.9,74.9,7.7,43,84.7,8.3,8.2,Não,Sim,Não,6,6.9,Não,Não
AL00693,20,Administração,Matutino,Presencial,Blumenau,1545,10,78.6,6,31,100,7.6,30.2,Não,Não,Sim,10,8.4,Sim,Não
AL00694,38,Administração,Noturno,Presencial,Timbó,900,13.6,95.1,5.5,26,77.7,6.5,7.2,Sim,Não,Sim,7,6.2,Sim,Não
AL00695,17,Administração,Matutino,Presencial,Blumenau,1214,16.4,84,4.3,53,100,5.2,12.3,SIM,Não,Não,5,7.7,Sim,Não
AL00696,40,Desenvolvimento de Sistemas,Noturno,Presencial,Indaial,4062,4.7,89.4,4.9,37,100,6.2,8,Não,Sim,Não,6,4.9,Não,Não
AL00697,16,Desenvolvimento de Sistemas,Matutino,Presencial,Pomerode,1407,11.3,100,6.7,31,58.3,5.3,5.9,Sim,Sim,Sim,7,6.9,Sim,Não
AL00698,34,Automação Industrial,Noturno,Híbrido,Timbó,7682,9.2,66.3,5.4,50,84.7,8.2,9,Sim,Não,Não,10,5.8,Não,Não
AL00699,26,Administração,Noturno,Presencial,Blumenau,2586,17.2,88.7,5.8,45,100,6.1,6.8,Não,Não,Não,5,8.2,Sim,Sim
AL00700,16,Desenvolvimento de Sistemas,Noturno,Presencial,Brusque,2102,8.7,79.3,5.9,37,86.9,4.2,8.2,Sim,Sim,Não,8,5.3,Não,Sim
AL00701,22,Eletromecânica,Matutino,Presencial,Timbó,1907,10.8,96.6,5.8,38,80.7,8.2,8.4,Não,Sim,Não,8,8.3,Sim,Não
AL00702,37,Eletromecânica,Noturno,Presencial,Blumenau,3429,8.1,63.2,4.9,32,100,5.7,3.7,Sim,Sim,Não,8,5.4,Não,Sim
AL00703,16,Eletromecânica,Noturno,Presencial,Pomerode,1895,3.8,93.9,,30,77,5.9,17.6,Sim,Não,Sim,7,5.9,Não,Não
AL00704,25,Desenvolvimento de Sistemas,Matutino,Presencial,Timbó,7321,5.6,88.3,4.4,31,60.4,7.5,2.7,Sim,Sim,Sim,10,5.5,Não,Não
AL00705,22,Desenvolvimento de Sistemas,Matutino,Presencial,Blumenau,928,5.6,90.1,7.3,29,74.1,4,7.2,Não,Sim,Não,6,7.3,Sim,Sim
AL00706,29,Desenvolvimento de Sistemas,Matutino,Híbrido,Pomerode,4255,9.8,73.7,6,26,98.8,6.9,4.4,Não,Sim,Sim,6,7.5,Não,Não
AL00707,32,Desenvolvimento de Sistemas,Noturno,Presencial,Gaspar,916,12.1,75.5,5.5,35,100,7.2,2.5,Sim,Não,Não,6,8.1,Sim,Sim
AL00708,31,Eletromecânica,Noturno,Híbrido,Gaspar,6190,8.7,91.5,7.1,40,76.4,7.4,19.3,Sim,Sim,Não,7,8.9,Sim,Sim
AL00709,30,Desenvolvimento de Sistemas,Matutino,Presencial,Gaspar,2974,4.4,89.6,6.7,19,67.4,4.9,11.8,Sim,Sim,Não,9,5.2,Não,Não
AL00710,25,Eletromecânica,Matutino,Presencial,Brusque,2478,5.8,69.9,9.2,36,73,7.8,10,Sim,Não,Não,9,6,Não,Não
AL00711,25,Eletromecânica,Noturno,Presencial,Pomerode,1807,3.9,94,8.7,33,75.7,5.8,5.9,Sim,Sim,Não,8,8,Sim,Não
AL00712,24,Desenvolvimento de Sistemas,Noturno,Presencial,Blumenau,1953,11.6,72.7,5.9,29,59.8,6,2.7,Sim,Sim,Não,8,5.2,Não,Não
AL00713,16,Administração,Noturno,Presencial,Gaspar,2749,5.1,99.5,6.1,39,100,5.8,10.4,Sim,Sim,Não,6,6.7,Sim,Sim
AL00714,23,Automação Industrial,Matutino,Presencial,Blumenau,6597,12.2,73.6,9.2,42,71,7.9,10.1,Sim,Sim,Não,7,7.1,Não,Sim
AL00715,23,Eletromecânica,Matutino,Presencial,Timbó,3247,7.7,95.3,7,42,94.7,7.4,4.8,Sim,Sim,Sim,6,7.9,Sim,Não
AL00716,41,Desenvolvimento de Sistemas,Matutino,Presencial,Timbó,,4.4,94.9,4.2,26,89.2,5.2,4.7,Sim,Sim,Não,8,6.2,Sim,Não
AL00717,38,Automação Industrial,Matutino,Presencial,Pomerode,3289,10,63.8,5.9,33,84.3,6.8,5.8,Sim,Sim,Sim,6,7.1,Não,Não
AL00718,25,Automação Industrial,Matutino,Presencial,Brusque,2101,11.1,96.3,5.4,47,100,7.1,11.1,Sim,Sim,Não,7,7.1,Sim,Não
AL00719,34,Administração,Noturno,Presencial,Pomerode,3880,9.5,89.6,9.3,32,95.3,8.2,4.7,Sim,Não,Não,8,9.7,Sim,Não
AL00720,20,Administração,Noturno,Presencial,Indaial,3475,12.9,79,6.6,40,91.5,6.1,4.1,Sim,Não,Sim,4,7.9,Sim,Sim
AL00721,21,Desenvolvimento de Sistemas,Noturno,Presencial,Brusque,2976,10.3,88.3,7.2,28,79.4,6.4,1.8,Não,Sim,Não,8,7,Sim,Não
AL00722,34,Automação Industrial,Noturno,Híbrido,Brusque,2036,12.6,94.2,6.6,48,100,7.1,2.4,Não,Sim,Não,4,7.3,Sim,Não
AL00723,16,Administração,Matutino,Híbrido,Indaial,8088,13.1,,4,38,85.7,8.4,3.4,Sim,Não,Não,8,4.7,Não,Não
AL00724,17,Desenvolvimento de Sistemas,Noturno,Presencial,Gaspar,2582,20.7,93,5.4,65,96.2,7.4,7.4,Não,Não,Não,9,5.8,Não,Não
AL00725,38,Desenvolvimento de Sistemas,Matutino,Híbrido,Brusque,3250,6.8,97.1,8.3,16,80.9,5,2.8,Sim,Não,Não,7,7.7,Sim,Não
AL00726,30,Administração,Noturno,Híbrido,Indaial,2967,7.6,76.1,10,44,90.5,5.4,5.8,Sim,Sim,Não,10,8.2,Sim,Não
AL00727,41,Administração,Noturno,Presencial,Timbó,1204,1.7,96.6,4.1,41,94.1,8.7,6.9,Não,Sim,Não,8,6.8,Sim,Não
AL00728,24,Desenvolvimento de Sistemas,Noturno,Presencial,Brusque,1804,10.4,50.7,8.6,34,100,7.8,7.8,Não,Sim,Não,9,6.3,Não,Não
AL00729,22,Desenvolvimento de Sistemas,Noturno,Presencial,Gaspar,1758,12.1,85,5.9,39,100,7.3,16,Não,Sim,Sim,9,6.6,Sim,Não
AL00730,27,Automação Industrial,Matutino,Presencial,Indaial,5202,11.5,65.5,6.8,22,69.9,8.4,5.2,Sim,Não,Não,7,5.7,Não,Não
AL00731,38,Desenvolvimento de Sistemas,Noturno,Presencial,Gaspar,2634,10.3,62.2,7.4,37,85.9,8,18.8,Sim,Sim,Não,8,7.5,Não,Sim
AL00732,33,Eletromecânica,Noturno,Presencial,Gaspar,2856,10.6,70.7,7.8,33,73,5.6,6.2,Sim,Sim,Sim,7,7.3,Não,Não
AL00733,29,Automação Industrial,Matutino,Presencial,Gaspar,12651,15.6,89.9,5.3,57,93.2,7.8,20.2,Sim,Não,Sim,7,7.3,Sim,Sim
AL00734,16,Eletromecânica,Matutino,Presencial,Blumenau,5261,6.3,76,5.6,24,89.2,7.8,17,Sim,Não,Sim,8,6.4,Sim,Sim
AL00735,19,Eletromecânica,Noturno,Presencial,Pomerode,1563,11.2,87.8,7.2,45,76.7,4.8,9.3,Sim,Não,Sim,9,6.6,Sim,Sim
AL00736,30,Eletromecânica,Noturno,Presencial,Timbó,4426,9.9,73,5.1,45,100,8,27.5,Sim,Sim,Não,7,6.3,Não,Não
AL00737,16,Automação Industrial,Noturno,Híbrido,Brusque,1505,12.8,74.1,5.3,34,100,8.3,6.3,Não,Não,Não,7,6,Não,Não
AL00738,16,Administração,Matutino,Presencial,Brusque,3517,12.9,63.9,4.1,63,93.8,8.8,15.5,Sim,Não,Não,10,6.7,Não,Não
AL00739,20,Administração,Matutino,Presencial,Gaspar,2612,9.2,84.5,4.2,23,71.5,7.4,9.4,Não,Não,Não,4,5.6,Não,Sim
AL00740,16,Desenvolvimento de Sistemas,Noturno,Presencial,Blumenau,2014,13.2,99.2,7.3,43,88.7,7,9.1,Sim,Sim,Não,6,8.1,Sim,Não
AL00741,33,Automação Industrial,Noturno,Presencial,Gaspar,3302,9.8,83.2,7,46,81.8,7.4,20.7,Sim,Não,Sim,8,5.5,Não,Não
AL00742,24,Eletromecânica,Noturno,Presencial,Timbó,5156,4.5,81.1,6.6,41,78,7.9,6.6,Sim,Sim,Não,8,6.6,Sim,Não
AL00743,30,Automação Industrial,Noturno,Presencial,Brusque,3029,12,63.2,7.1,33,87.5,6.7,4,Sim,Sim,Sim,8,6.6,Não,Não
AL00744,48,Administração,Noturno,Presencial,Gaspar,1259,6,95.6,5.7,40,70.9,6.7,6.5,Não,Sim,Não,6,6.4,Sim,Não
AL00745,20,Administração,Matutino,Presencial,Gaspar,3118,6.1,98.5,6.8,48,78.6,6.2,11.5,Sim,Sim,Sim,7,8,Sim,Não
AL00746,41,Automação Industrial,Matutino,Presencial,Pomerode,2679,0,87.3,6.4,17,68.2,8.6,4.1,Sim,Sim,Não,9,5.5,Não,Não
AL00747,16,Desenvolvimento de Sistemas,Noturno,Híbrido,Timbó,1729,5.3,57,9.8,33,90.6,6.6,9.6,Não,Sim,Não,7,6.8,Não,Não
AL00748,35,Administração,Matutino,Presencial,Pomerode,5613,11.7,84.6,5.7,39,85.4,4.9,3.2,Sim,Sim,Sim,5,7.6,Sim,Não
AL00749,21,Eletromecânica,Noturno,Presencial,Timbó,6624,8.4,75.3,7.6,35,100,5.5,6.4,Sim,Sim,Não,7,6.6,Sim,Sim
AL00750,47,Eletromecânica,Noturno,Presencial,Brusque,2916,14.9,73.5,4.7,79,100,7.2,8.3,Sim,Sim,Não,7,6.2,Não,Não
AL00751,29,Administração,Noturno,Presencial,Gaspar,2359,12,83.4,8.8,55,100,6.5,2.2,Sim,Sim,Sim,6,8.2,Sim,Não
AL00752,27,Eletromecânica,Matutino,Presencial,Timbó,3390,14.6,95.8,8.5,53,100,5.9,10,Sim,Sim,Não,8,9.5,Sim,Não
AL00753,21,Eletromecânica,Matutino,Presencial,Blumenau,1725,11.2,86.8,7,47,91.1,5.3,4.5,Sim,Sim,Não,8,6.8,Sim,Sim
AL00754,39,Administração,Noturno,Presencial,Timbó,3934,13.9,62.9,5.9,27,100,7.4,12.4,Sim,Não,Sim,6,6.2,Não,Não
AL00755,23,Desenvolvimento de Sistemas,Matutino,Presencial,Brusque,2543,11.2,75.1,5.3,51,100,7.9,13.5,Não,Sim,Sim,6,6.6,Sim,Não
AL00756,16,Eletromecânica,Noturno,Presencial,Indaial,2982,13.5,89.9,7.9,46,100,8.4,2.5,Sim,Não,Não,9,7.7,Sim,Não
AL00757,16,Administração,Noturno,Presencial,Timbó,4699,12.1,91.9,6,56,61.6,9,5.5,Sim,Não,Sim,5,7.8,Sim,Não
AL00758,25,Desenvolvimento de Sistemas,Noturno,Presencial,Timbó,4006,6,100,7.9,22,63.8,7,15.2,Sim,Sim,Não,6,6.6,Sim,Não
AL00759,16,Desenvolvimento de Sistemas,Noturno,Híbrido,Gaspar,2404,6.4,81,6.7,19,79.3,6.7,18.5,Sim,Sim,Não,7,5.6,Não,Não
AL00760,36,Administração,Noturno,Presencial,Gaspar,2229,9.4,83.6,5,36,96.6,6.3,6.6,Não,Sim,Não,7,5.7,Não,Não
AL00761,18,Desenvolvimento de Sistemas,Noturno,Presencial,Brusque,2699,5.5,65.8,9.4,29,90.5,5.9,4.8,Não,Sim,Sim,7,6.3,Não,Não
AL00762,41,Automação Industrial,Noturno,Presencial,Pomerode,3350,12.2,78.4,4.5,38,91.2,5.1,9.7,Sim,Sim,Não,9,5.9,Não,Não
AL00763,41,Eletromecânica,Matutino,Presencial,Gaspar,3523,6.9,87.9,7.5,37,67,6,4.4,Sim,Sim,Não,6,6.5,Sim,Não
AL00764,34,Administração,Matutino,Presencial,Indaial,3682,7.8,85.3,6.2,22,68.4,8.5,8.9,Sim,Não,Sim,8,6.1,Sim,Não
AL00765,29,Desenvolvimento de Sistemas,Noturno,Presencial,Blumenau,5516,5.7,100,5.1,46,92.8,7.6,7.9,Sim,Sim,Não,3,5.4,Não,Não
AL00766,53,Administração,Noturno,Presencial,Timbó,5676,3.4,74.8,6.1,49,84.3,5.3,8.1,Sim,Sim,Não,10,6.7,Não,Sim
AL00767,31,Administração,Noturno,Presencial,Pomerode,4343,9.1,82.4,4,25,100,6,8.6,Sim,Sim,Não,6,5.5,Não,Não
AL00768,16,Automação Industrial,Matutino,Presencial,Gaspar,3487,7.6,83.2,7.6,32,54.5,5.4,5.2,Sim,Sim,Não,8,6.5,Sim,Não
AL00769,25,Administração,Noturno,Híbrido,Pomerode,6187,9.7,77,6,33,100,6.6,4.8,Sim,Sim,Não,9,6.2,Sim,Não
AL00770,32,Administração,Matutino,Presencial,Timbó,3268,3.6,77.1,3.5,7,69,7,4.5,Sim,Sim,Não,10,5.3,Não,Não
AL00771,22,Eletromecânica,Noturno,Presencial,Brusque,3171,7.5,70,7.4,28,97,7.7,4.5,Sim,Sim,Sim,7,7.1,Não,Não
AL00772,24,Eletromecânica,Matutino,Presencial,Brusque,5385,4.5,100,5.9,44,63.3,5.8,4.1,Sim,Sim,Não,5,5.8,Não,Sim
AL00773,18,Automação Industrial,Matutino,Presencial,Timbó,1558,13,96.9,6.3,35,66.2,4.4,17.9,Não,Não,Não,6,6.9,Sim,Não
AL00774,31,Desenvolvimento de Sistemas,Noturno,Presencial,Gaspar,1774,10.4,79.4,6.3,3,66.9,5.3,14.6,Não,Sim,Não,4,5.8,Não,Não
AL00775,21,Eletromecânica,Matutino,Híbrido,Timbó,4425,8.3,69.3,5.9,36,64.3,7.5,9.1,Sim,Não,Não,7,4.6,Não,Não
AL00776,18,Eletromecânica,Noturno,Híbrido,Timbó,3010,4.9,90.8,5.3,23,81.5,6.4,5.7,Não,Sim,Não,5,6.2,Sim,Não
AL00777,29,Automação Industrial,Noturno,Presencial,Gaspar,6774,12.2,80.8,6.5,31,78.9,7.2,13.1,Não,Não,Não,6,6.1,Sim,Sim
AL00778,40,Desenvolvimento de Sistemas,Matutino,Híbrido,Pomerode,4039,17.3,80.2,11.8,63,82.2,6.5,8.5,Sim,Não,Não,7,6.2,Sim,Não
AL00779,39,Automação Industrial,Matutino,Híbrido,Timbó,4319,7.6,72.4,7.5,26,94.4,6.8,6.4,Sim,nao,Não,9,6.7,Não,Não
AL00780,33,Administração,Matutino,Presencial,Gaspar,3307,13.3,72.5,3.9,63,100,3.7,4.8,Não,Sim,Não,6,5.8,Não,Não
AL00781,26,Eletromecânica,Matutino,Híbrido,Timbó,1772,2.5,91.1,6,19,90.8,6.1,7.5,Sim,Sim,Não,5,6.1,Sim,Não
AL00782,16,Desenvolvimento de Sistemas,Noturno,Presencial,Pomerode,8545,7.7,58.7,7.4,41,82.5,5.9,2.7,Sim,Não,Não,7,5.7,Não,Não
AL00783,16,Automação Industrial,Noturno,Presencial,Indaial,1988,9.7,61.7,9.6,38,83.4,6.2,6.2,Sim,Não,Não,5,5.7,Não,Não
AL00784,19,Administração,Matutino,Presencial,Pomerode,2059,13.3,93.3,9.6,58,100,7.8,7.1,Sim,Não,Não,10,8.6,Sim,Não
AL00785,30,Desenvolvimento de Sistemas,Noturno,Presencial,Brusque,2782,10.6,91.9,5.8,40,84.1,6.6,4.6,Não,Sim,Não,7,6.9,Sim,Não
AL00786,30,Automação Industrial,Matutino,Presencial,Timbó,3085,7.5,100,9.3,50,81.9,7.7,3,Sim,Sim,Sim,7,8.3,Sim,Não
AL00787,18,Administração,Matutino,Presencial,Blumenau,4672,8,80.6,4.1,19,98.7,6.4,12.5,Não,Sim,Não,7,7,Sim,Não
AL00788,32,Eletromecânica,Matutino,Presencial,Brusque,900,8.1,87.3,6.4,30,91.6,6.4,11.9,Sim,Sim,Não,6,6.3,Sim,Não
AL00789,34,Administração,Matutino,Presencial,Brusque,4815,4.1,82.2,5,35,100,5.3,6.3,Sim,Sim,Não,9,6.7,Sim,Não
AL00790,18,Automação Industrial,noturno ,Presencial,Timbó,5738,13.9,87.1,4.3,54,96.2,9,3.9,Sim,Não,Sim,9,6.4,Sim,Não
AL00791,21,Eletromecânica,Matutino,Presencial,Pomerode,6672,9.8,84,4.8,47,100,5.9,5.4,Sim,Sim,Não,5,5.3,Não,Não
AL00792,33,Eletromecânica,Noturno,Presencial,Gaspar,4620,2.3,89.6,7.4,36,100,8.8,15.5,Sim,Sim,Não,9,6.3,Sim,Não
AL00793,18,Automação Industrial,Noturno,Presencial,Timbó,2328,8.5,93.5,6,43,74.8,7.6,6.1,Não,Não,Sim,8,6.3,Sim,Não
AL00794,16,Administração,Matutino,Presencial,Timbó,2817,10.8,77.1,8.8,31,84,8,4.2,Sim,Não,Não,8,6.7,Sim,Não
AL00795,30,Automação Industrial,Matutino,Presencial,Pomerode,3649,8.2,86.1,8.3,26,100,5.7,6.3,Sim,Sim,Não,7,8.2,Sim,Não
AL00796,33,Automação Industrial,Noturno,Presencial,Indaial,3498,5.9,59,7.7,34,77.4,6.2,15.5,Sim,Sim,Não,10,5.6,Não,Sim
AL00797,29,Administração,Matutino,Presencial,Brusque,7546,11.6,75.7,7.1,30,100,7.2,6.2,Sim,Sim,Não,6,7.8,Sim,Não
AL00798,32,Eletromecânica,Noturno,Presencial,Pomerode,1689,4,88.5,6,35,78.4,5.9,3.6,Sim,Sim,Não,6,6.2,Sim,Não
AL00799,21,Eletromecânica,Matutino,Presencial,Timbó,8701,12.1,70.4,7.6,41,96.3,6.9,20.3,Sim,Sim,Não,5,7.6,Não,Sim
